Date,Open,High,Low,Close,Volume,Price_Change,Percentage_Change,Average_Price,Range
20/05/2022,4.08,4.13,4.07,4.11,18106689,0.03,0.735294118,4.1,0.06
19/05/2022,4.09,4.1,4.03,4.09,18611801,0,0,4.065,0.07
18/05/2022,4.09,4.13,4.07,4.13,19076801,0.04,0.97799511,4.1,0.06
17/05/2022,4.03,4.12,4.03,4.09,16932439,0.06,1.488833747,4.075,0.09
13/05/2022,3.95,4.08,3.95,4.03,14020380,0.08,2.025316456,4.015,0.13
12/05/2022,4.08,4.08,3.8,3.95,19786359,-0.13,-3.18627451,3.94,0.28
11/05/2022,4.13,4.13,4.07,4.08,16342460,-0.05,-1.210653753,4.1,0.06
10/05/2022,4.1,4.13,4.09,4.13,16241720,0.03,0.731707317,4.11,0.04
09/05/2022,4.12,4.13,4.07,4.1,12986410,-0.02,-0.485436893,4.1,0.06
06/05/2022,4.07,4.13,4.06,4.13,12491430,0.06,1.474201474,4.095,0.07
05/05/2022,4.13,4.13,4.07,4.07,12019730,-0.06,-1.452784504,4.1,0.06
29/04/2022,4.09,4.13,4.07,4.13,15423510,0.04,0.97799511,4.1,0.06
28/04/2022,4.08,4.09,4.07,4.08,14055460,0,0,4.08,0.02
27/04/2022,4.08,4.09,4.04,4.09,13627190,0.01,0.245098039,4.065,0.05
26/04/2022,4.05,4.07,4.04,4.05,10658390,0,0,4.055,0.03
25/04/2022,4.06,4.08,4.03,4.05,11274240,-0.01,-0.246305419,4.055,0.05
22/04/2022,4.08,4.08,4.06,4.06,10738340,-0.02,-0.490196078,4.07,0.02
21/04/2022,4.08,4.09,4.07,4.07,14037450,-0.01,-0.245098039,4.08,0.02
20/04/2022,4.1,4.1,4.07,4.07,12796050,-0.03,-0.731707317,4.085,0.03
19/04/2022,4.09,4.11,4.08,4.08,12178290,-0.01,-0.244498778,4.095,0.03
18/04/2022,4.09,4.1,4.07,4.1,13371920,0.01,0.244498778,4.085,0.03
15/04/2022,4.12,4.12,4.08,4.09,9670014,-0.03,-0.72815534,4.1,0.04
14/04/2022,4.12,4.12,4.09,4.12,11054120,0,0,4.105,0.03
13/04/2022,4.08,4.11,4.07,4.11,12194750,0.03,0.735294118,4.09,0.04
12/04/2022,4.09,4.11,4.07,4.08,11636980,-0.01,-0.244498778,4.09,0.04
11/04/2022,4.1,4.13,4.09,4.09,14905540,-0.01,-0.243902439,4.11,0.04
08/04/2022,4.14,4.14,4.09,4.1,11514850,-0.04,-0.966183575,4.115,0.05
07/04/2022,4.14,4.15,4.11,4.15,11367810,0.01,0.241545894,4.13,0.04
06/04/2022,4.12,4.15,4.12,4.15,8742882,0.03,0.72815534,4.135,0.03
05/04/2022,4.12,4.13,4.1,4.12,7764762,0,0,4.115,0.03
04/04/2022,4.11,4.13,4.1,4.12,10289300,0.01,0.243309002,4.115,0.03
01/04/2022,4.13,4.15,4.09,4.12,9875764,-0.01,-0.242130751,4.12,0.06
31/03/2022,4.23,4.23,4.17,4.2,12565250,-0.03,-0.709219858,4.2,0.06
30/03/2022,4.2,4.24,4.19,4.24,11946840,0.04,0.952380952,4.215,0.05
29/03/2022,4.22,4.23,4.2,4.21,12771030,-0.01,-0.236966825,4.215,0.03
28/03/2022,4.14,4.22,4.12,4.22,20222160,0.08,1.93236715,4.17,0.1
25/03/2022,4.13,4.14,4.12,4.14,8864238,0.01,0.242130751,4.13,0.02
24/03/2022,4.14,4.15,4.11,4.14,10670160,0,0,4.13,0.04
23/03/2022,4.12,4.15,4.12,4.14,10298010,0.02,0.485436893,4.135,0.03
22/03/2022,4.09,4.14,4.09,4.14,9409096,0.05,1.222493888,4.115,0.05
21/03/2022,4.11,4.12,4.09,4.09,9290058,-0.02,-0.486618005,4.105,0.03
18/03/2022,4.1,4.12,4.08,4.12,16139920,0.02,0.487804878,4.1,0.04
17/03/2022,4.13,4.13,4.09,4.11,11526590,-0.02,-0.484261501,4.11,0.04
16/03/2022,4.08,4.12,4.08,4.12,11015140,0.04,0.980392157,4.1,0.04
15/03/2022,4.1,4.1,4.05,4.07,10832530,-0.03,-0.731707317,4.075,0.05
14/03/2022,4.12,4.12,4.09,4.09,12783880,-0.03,-0.72815534,4.105,0.03
11/03/2022,4.11,4.13,4.09,4.11,10470230,0,0,4.11,0.04
10/03/2022,4.12,4.13,4.1,4.12,6904807,0,0,4.115,0.03
09/03/2022,4.15,4.18,4.12,4.12,8501595,-0.03,-0.722891566,4.15,0.06
08/03/2022,4.16,4.16,4.14,4.14,12242560,-0.02,-0.480769231,4.15,0.02
07/03/2022,4.22,4.22,4.14,4.15,13803480,-0.07,-1.658767773,4.18,0.08
04/03/2022,4.23,4.3,4.2,4.21,13202650,-0.02,-0.472813239,4.25,0.1
03/03/2022,4.18,4.24,4.18,4.24,20269891,0.06,1.435406699,4.21,0.06
02/03/2022,4.11,4.19,4.1,4.18,15910430,0.07,1.703163017,4.145,0.09
01/03/2022,4.08,4.15,4.08,4.13,12436970,0.05,1.225490196,4.115,0.07
28/02/2022,4.08,4.12,4.05,4.12,11458930,0.04,0.980392157,4.085,0.07
25/02/2022,4.09,4.11,4.08,4.08,8405962,-0.01,-0.244498778,4.095,0.03
24/02/2022,4.1,4.1,4.05,4.07,11079870,-0.03,-0.731707317,4.075,0.05
23/02/2022,4.1,4.16,4.1,4.15,11614470,0.05,1.219512195,4.13,0.06
22/02/2022,4.08,4.12,4.05,4.12,10586120,0.04,0.980392157,4.085,0.07
21/02/2022,4.09,4.1,4.06,4.08,10810190,-0.01,-0.244498778,4.08,0.04
18/02/2022,4.09,4.12,4.09,4.11,11257150,0.02,0.488997555,4.105,0.03
17/02/2022,4.11,4.12,4.09,4.12,7784487,0.01,0.243309002,4.105,0.03
16/02/2022,4.11,4.12,4.08,4.12,12824950,0.01,0.243309002,4.1,0.04
15/02/2022,4.08,4.11,4.05,4.1,11285020,0.02,0.490196078,4.08,0.06
14/02/2022,4.07,4.1,4.03,4.09,12351190,0.02,0.491400491,4.065,0.07
11/02/2022,4.06,4.12,4.06,4.12,9962737,0.06,1.477832512,4.09,0.06
10/02/2022,4.08,4.08,4.05,4.06,14268420,-0.02,-0.490196078,4.065,0.03
09/02/2022,4.07,4.08,4.06,4.07,12684210,0,0,4.07,0.02
08/02/2022,4.06,4.08,4.05,4.06,10747450,0,0,4.065,0.03
07/02/2022,4.12,4.12,4.06,4.07,15728690,-0.05,-1.213592233,4.09,0.06
04/02/2022,4.11,4.12,4.08,4.12,9010424,0.01,0.243309002,4.1,0.04
03/02/2022,4.13,4.13,4.1,4.12,8087955,-0.01,-0.242130751,4.115,0.03
02/02/2022,4.1,4.14,4.1,4.13,8426994,0.03,0.731707317,4.12,0.04
01/02/2022,4.17,4.17,4.1,4.1,10047520,-0.07,-1.678657074,4.135,0.07
31/01/2022,4.11,4.15,4.11,4.13,9229220,0.02,0.486618005,4.13,0.04
28/01/2022,4.09,4.13,4.09,4.11,8213260,0.02,0.488997555,4.11,0.04
27/01/2022,4.11,4.12,4.08,4.09,9593059,-0.02,-0.486618005,4.1,0.04
26/01/2022,4.12,4.14,4.11,4.11,9169382,-0.01,-0.242718447,4.125,0.03
25/01/2022,4.13,4.14,4.1,4.11,10736960,-0.02,-0.484261501,4.12,0.04
24/01/2022,4.16,4.16,4.12,4.14,13660190,-0.02,-0.480769231,4.14,0.04
21/01/2022,4.17,4.18,4.16,4.17,8831923,0,0,4.17,0.02
20/01/2022,4.18,4.19,4.17,4.18,9158058,0,0,4.18,0.02
19/01/2022,4.19,4.19,4.17,4.18,8314980,-0.01,-0.238663484,4.18,0.02
18/01/2022,4.19,4.2,4.18,4.19,8223194,0,0,4.19,0.02
17/01/2022,4.22,4.22,4.17,4.19,13956300,-0.03,-0.710900474,4.195,0.05
14/01/2022,4.23,4.24,4.21,4.22,11474160,-0.01,-0.236406619,4.225,0.03
13/01/2022,4.2,4.24,4.19,4.24,11757780,0.04,0.952380952,4.215,0.05
12/01/2022,4.18,4.22,4.15,4.22,13809040,0.04,0.956937799,4.185,0.07
11/01/2022,4.2,4.2,4.15,4.18,9602131,-0.02,-0.476190476,4.175,0.05
10/01/2022,4.19,4.19,4.16,4.19,10190860,0,0,4.175,0.03
07/01/2022,4.17,4.19,4.15,4.19,9520665,0.02,0.479616307,4.17,0.04
06/01/2022,4.2,4.2,4.15,4.17,10525450,-0.03,-0.714285714,4.175,0.05
05/01/2022,4.22,4.22,4.19,4.19,11691200,-0.03,-0.710900474,4.205,0.03
04/01/2022,4.23,4.24,4.21,4.22,9013547,-0.01,-0.236406619,4.225,0.03
03/01/2022,4.26,4.26,4.21,4.23,8855226,-0.03,-0.704225352,4.235,0.05
30/12/2021,4.21,4.27,4.21,4.27,10054800,0.06,1.425178147,4.24,0.06
29/12/2021,4.24,4.25,4.22,4.25,11116760,0.01,0.235849057,4.235,0.03
28/12/2021,4.22,4.23,4.2,4.23,10809800,0.01,0.236966825,4.215,0.03
27/12/2021,4.21,4.23,4.2,4.23,12848050,0.02,0.475059382,4.215,0.03
23/12/2021,4.24,4.24,4.2,4.24,13604590,0,0,4.22,0.04
22/12/2021,4.22,4.24,4.2,4.24,13302200,0.02,0.473933649,4.22,0.04
21/12/2021,4.23,4.23,4.19,4.21,9996361,-0.02,-0.472813239,4.21,0.04
20/12/2021,4.19,4.24,4.16,4.24,10035570,0.05,1.193317422,4.2,0.08
16/12/2021,4.23,4.26,4.21,4.26,12794070,0.03,0.709219858,4.235,0.05
15/12/2021,4.26,4.26,4.22,4.24,8207718,-0.02,-0.469483568,4.24,0.04
14/12/2021,4.22,4.26,4.21,4.26,11150650,0.04,0.947867299,4.235,0.05
13/12/2021,4.24,4.26,4.2,4.2,13229970,-0.04,-0.943396226,4.23,0.06
09/12/2021,4.2,4.26,4.19,4.25,15674050,0.05,1.19047619,4.225,0.07
08/12/2021,4.2,4.21,4.18,4.21,11212450,0.01,0.238095238,4.195,0.03
07/12/2021,4.23,4.25,4.19,4.19,15576990,-0.04,-0.945626478,4.22,0.06
06/12/2021,4.2,4.25,4.18,4.23,20410260,0.03,0.714285714,4.215,0.07
30/11/2021,4.19,4.21,4.14,4.14,36878160,-0.05,-1.193317422,4.175,0.07
29/11/2021,4.13,4.22,4.13,4.22,10599610,0.09,2.179176755,4.175,0.09
25/11/2021,4.19,4.22,4.17,4.19,13515420,0,0,4.195,0.05
24/11/2021,4.19,4.22,4.18,4.19,10963090,0,0,4.2,0.04
23/11/2021,4.23,4.23,4.16,4.17,13218600,-0.06,-1.418439716,4.195,0.07
22/11/2021,4.2,4.23,4.19,4.23,10489670,0.03,0.714285714,4.21,0.04
18/11/2021,4.19,4.23,4.19,4.23,13708970,0.04,0.954653938,4.21,0.04
17/11/2021,4.22,4.22,4.18,4.22,10860520,0,0,4.2,0.04
16/11/2021,4.23,4.23,4.18,4.2,11545260,-0.03,-0.709219858,4.205,0.05
15/11/2021,4.29,4.29,4.18,4.23,15099350,-0.06,-1.398601399,4.235,0.11
11/11/2021,4.29,4.29,4.26,4.28,11237250,-0.01,-0.233100233,4.275,0.03
10/11/2021,4.3,4.3,4.25,4.29,11177240,-0.01,-0.23255814,4.275,0.05
09/11/2021,4.25,4.3,4.22,4.3,11075800,0.05,1.176470588,4.26,0.08
08/11/2021,4.27,4.28,4.24,4.26,11695570,-0.01,-0.234192037,4.26,0.04
04/11/2021,4.3,4.33,4.27,4.28,15340620,-0.02,-0.465116279,4.3,0.06
03/11/2021,4.29,4.3,4.28,4.3,14942730,0.01,0.233100233,4.29,0.02
02/11/2021,4.3,4.31,4.28,4.3,13989590,0,0,4.295,0.03
01/11/2021,4.29,4.32,4.27,4.32,12629100,0.03,0.699300699,4.295,0.05
28/10/2021,4.26,4.29,4.26,4.28,8116484,0.02,0.469483568,4.275,0.03
27/10/2021,4.27,4.27,4.25,4.26,8319579,-0.01,-0.234192037,4.26,0.02
26/10/2021,4.23,4.3,4.23,4.27,11140480,0.04,0.945626478,4.265,0.07
25/10/2021,4.23,4.24,4.21,4.21,8433359,-0.02,-0.472813239,4.225,0.03
20/10/2021,4.2,4.22,4.19,4.19,7023869,-0.01,-0.238095238,4.205,0.03
19/10/2021,4.21,4.21,4.17,4.19,3777998,-0.02,-0.475059382,4.19,0.04
18/10/2021,4.21,4.22,4.19,4.21,5279534,0,0,4.205,0.03
14/10/2021,4.25,4.25,4.21,4.21,10004540,-0.04,-0.941176471,4.23,0.04
13/10/2021,4.29,4.29,4.25,4.26,8026377,-0.03,-0.699300699,4.27,0.04
12/10/2021,4.31,4.34,4.28,4.29,13810660,-0.02,-0.464037123,4.31,0.06
11/10/2021,4.27,4.33,4.23,4.3,16069560,0.03,0.702576112,4.28,0.1
07/10/2021,4.22,4.24,4.15,4.2,12415840,-0.02,-0.473933649,4.195,0.09
06/10/2021,4.34,4.34,4.27,4.27,17651561,-0.07,-1.612903226,4.305,0.07
05/10/2021,4.25,4.35,4.23,4.35,19750211,0.1,2.352941176,4.29,0.12
04/10/2021,4.23,4.27,4.19,4.26,26582180,0.03,0.709219858,4.23,0.08
30/09/2021,4.19,4.19,4.16,4.16,13350790,-0.03,-0.715990453,4.175,0.03
